City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Alugan,PH,12.2188,125.4808,83.37,79,100,1.57,overcast clouds
133,Wajima,JP,37.4,136.9,61.48,94,75,5.75,mist
134,Egvekinot,RU,66.3167,-179.1667,45.43,53,93,3.2,overcast clouds
135,Saint-Philippe,RE,-21.3585,55.7679,80.19,73,75,10.04,broken clouds
136,Kijang,KR,35.2442,129.2139,64.33,71,55,14.85,broken clouds
137,Nanlong,CN,31.3533,106.0631,91.35,42,75,6.02,broken clouds
138,Cutro,IT,39.0353,16.9819,80.65,38,0,7.07,clear sky
139,Barguzin,RU,53.6167,109.6167,53.08,88,100,8.32,light rain
140,Carbonia,IT,39.1672,8.5222,77.65,29,34,8.32,scattered clouds
141,Labuhan,ID,-6.8844,112.2051,85.84,70,100,10.65,overcast clouds
142,Foumbot,CM,5.5079,10.6356,70.43,84,94,1.7,overcast clouds
143,Dabou,CI,5.3256,-4.3769,78.4,83,100,2.17,overcast clouds
144,Lebu,CL,-37.6167,-73.65,52.65,94,100,15.23,overcast clouds
145,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,51.93,97,1,3.6,clear sky
146,Northam,GB,51.0333,-4.2167,61.39,90,100,5.55,overcast clouds
147,Ayan,RU,56.45,138.1667,43.0,84,32,7.72,scattered clouds
148,Drovyanaya,RU,51.5833,113.0333,74.52,29,90,1.81,overcast clouds
149,Fort Collins,US,40.5853,-105.0844,60.96,78,0,12.66,clear sky
150,Shanghai,CN,31.2222,121.4581,84.92,61,0,11.18,clear sky
151,Sambava,MG,-14.2667,50.1667,77.34,72,54,14.07,light rain
152,Georgetown,MY,5.4112,100.3354,85.93,70,20,8.05,few clouds
153,Otane,NZ,-39.8833,176.6333,60.01,83,100,7.65,light rain
154,Kokopo,PG,-4.352,152.2633,79.5,79,28,2.21,light rain
155,Constitucion,CL,-35.3333,-72.4167,50.81,83,100,3.83,overcast clouds
156,Mirebalais,HT,18.8333,-72.1053,77.72,90,94,5.17,overcast clouds
157,Pacific Grove,US,36.6177,-121.9166,55.08,88,0,6.91,clear sky
158,Tasiilaq,GL,65.6145,-37.6368,39.36,67,100,3.89,overcast clouds
159,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,18.41,few clouds
160,Pevek,RU,69.7008,170.3133,34.16,84,33,7.34,scattered clouds
161,Pisco,PE,-13.7,-76.2167,62.02,93,50,7.74,scattered clouds
162,Naze,JP,28.3667,129.4833,71.67,77,100,6.35,overcast clouds
163,Dubai,AE,25.2582,55.3047,96.82,42,0,10.78,clear sky
164,Eidsvag,NO,62.7767,8.0668,55.45,61,23,5.03,few clouds
165,Tucupita,VE,9.0622,-62.051,71.13,99,78,2.98,broken clouds
166,Zhigansk,RU,66.7697,123.3711,66.42,57,27,5.32,light rain
167,Altay,CN,47.8667,88.1167,67.19,30,86,12.82,overcast clouds
168,Najran,SA,17.4924,44.1277,93.4,8,11,9.37,few clouds
169,Roma,US,43.2128,-75.4557,69.82,54,100,9.22,overcast clouds
170,Kahului,US,20.8947,-156.47,76.84,73,0,9.22,clear sky
171,Colombo,LK,6.9319,79.8478,84.15,82,89,13.44,overcast clouds
172,Pahrump,US,36.2083,-115.9839,82.26,26,13,4.0,few clouds
173,Guilin,CN,25.2819,110.2864,87.91,62,71,9.33,broken clouds
174,Sivaki,RU,52.6333,126.75,82.17,22,10,1.41,clear sky
175,Carnarvon,AU,-24.8667,113.6333,79.92,49,100,11.72,overcast clouds
176,Great Yarmouth,GB,52.6083,1.7305,62.08,76,99,9.69,overcast clouds
177,Noumea,NC,-22.2763,166.4572,77.0,99,65,3.8,broken clouds
178,Dunedin,NZ,-45.8742,170.5036,58.8,44,100,8.99,overcast clouds
179,Makakilo City,US,21.3469,-158.0858,76.57,69,1,10.63,clear sky
180,Manzanillo,CU,20.3433,-77.1167,76.06,80,98,2.89,overcast clouds
181,Motihari,IN,26.65,84.9167,108.63,19,15,1.97,few clouds
182,Bambous Virieux,MU,-20.3428,57.7575,77.22,78,40,11.5,light rain
183,Champerico,GT,14.3,-91.9167,77.16,82,100,7.87,overcast clouds
184,Quelimane,MZ,-17.8786,36.8883,66.88,98,100,3.29,moderate rain
185,Fare,PF,-16.7,-151.0167,79.57,76,13,16.64,light rain
186,Ponta Do Sol,PT,32.6667,-17.1,70.0,79,35,1.19,scattered clouds
187,Pangnirtung,CA,66.1451,-65.7125,32.36,79,14,2.91,few clouds
188,Pimentel,PE,-6.8367,-79.9342,63.23,85,91,9.26,overcast clouds
189,Bodajk,HU,47.3235,18.2331,74.95,57,5,3.2,clear sky
190,Olafsvik,IS,64.8945,-23.7142,49.19,90,100,13.27,overcast clouds
191,Paamiut,GL,61.994,-49.6678,39.63,79,22,8.3,few clouds
192,Cherskiy,RU,68.75,161.3,47.19,45,55,14.03,broken clouds
193,Maragogi,BR,-9.0122,-35.2225,73.27,91,68,7.2,broken clouds
194,Sahuaripa,MX,29.05,-109.2333,76.84,39,12,5.73,few clouds
195,Khandyga,RU,62.6667,135.6,76.01,28,1,11.1,clear sky
196,San Patricio,US,28.017,-97.5169,82.89,77,90,17.69,overcast clouds
197,Ostrovnoy,RU,68.0531,39.5131,45.12,82,97,1.74,overcast clouds
198,Namatanai,PG,-3.6667,152.4333,80.53,80,86,7.65,light rain
199,Honningsvag,NO,70.9821,25.9704,47.95,53,20,17.27,few clouds
200,Riberalta,BO,-10.9833,-66.1,71.4,91,39,2.19,scattered clouds
201,Hotaka,JP,36.3396,137.8825,61.3,79,76,1.79,broken clouds
202,Okahandja,NA,-21.9833,16.9167,58.84,40,0,21.05,clear sky
203,Faya,SA,18.3851,42.4509,86.52,10,34,9.66,scattered clouds
204,Trincomalee,LK,8.5711,81.2335,90.63,53,100,14.94,moderate rain
205,Korla,CN,41.7597,86.1469,90.0,13,33,12.77,scattered clouds
206,Ketchikan,US,55.3422,-131.6461,52.27,82,100,6.91,light rain
207,Ordubad,AZ,38.9059,46.0234,84.13,33,3,7.87,clear sky
208,Allen,US,41.0706,-85.0144,66.9,94,100,8.05,overcast clouds
209,Byron Bay,AU,-28.65,153.6167,55.71,59,5,5.14,clear sky
210,Black Diamond,US,47.3087,-122.0032,52.39,87,3,1.01,clear sky
211,Saint-Augustin,CA,51.226,-58.6502,40.28,73,0,6.76,clear sky
212,Kurilsk,RU,45.2333,147.8833,44.4,79,41,5.7,scattered clouds
213,Aksha,RU,50.2814,113.2867,73.13,29,75,2.89,broken clouds
214,Tupik,RU,54.4253,119.9327,73.56,41,91,5.99,overcast clouds
215,Scottsbluff,US,41.8666,-103.6672,59.29,85,75,9.22,broken clouds
216,Cidreira,BR,-30.1811,-50.2056,61.52,93,100,7.63,overcast clouds
217,Bereda,ES,43.2686,-7.5406,59.58,69,98,4.25,overcast clouds
218,Brasileia,BR,-11.0161,-68.7481,74.37,79,85,2.13,overcast clouds
219,Kremenki,RU,54.885,37.1261,65.01,37,6,8.7,clear sky
220,Aguimes,ES,27.9054,-15.4461,66.83,64,20,26.46,few clouds
221,Kirakira,SB,-10.4544,161.9205,80.38,81,76,11.03,broken clouds
222,Okhotsk,RU,59.3833,143.3,49.82,90,100,3.02,overcast clouds
223,Karratha,AU,-20.7377,116.8463,78.33,38,6,15.52,clear sky
224,Rach Gia,VN,10.0167,105.0833,86.43,70,97,16.24,overcast clouds
225,Thompson,CA,55.7435,-97.8558,42.89,72,36,4.97,scattered clouds
226,Homer,US,59.6425,-151.5483,55.04,90,100,4.0,overcast clouds
227,Akhaldaba,GE,41.654,42.1516,64.96,82,98,3.09,light rain
228,Souillac,MU,-20.5167,57.5167,75.58,78,40,11.5,light rain
229,Goderich,CA,43.7501,-81.7165,63.91,100,100,8.81,light rain
230,Ishim,RU,56.1128,69.4902,65.3,62,100,12.91,overcast clouds
231,Suntar,RU,62.1444,117.6319,76.51,34,8,4.47,clear sky
232,Vila Velha,BR,-20.3297,-40.2925,60.94,89,0,1.14,clear sky
233,Villa Maria,AR,-32.4075,-63.2402,46.18,78,0,7.94,clear sky
234,Avera,US,33.194,-82.5271,68.05,89,64,4.38,broken clouds
235,Nizwa,OM,22.9333,57.5333,103.1,12,0,6.98,clear sky
236,Dali,CN,25.7,100.1833,68.83,75,100,3.49,overcast clouds
237,Skibbereen,IE,51.55,-9.2667,56.1,88,91,6.33,overcast clouds
238,Necochea,AR,-38.5473,-58.7368,50.18,66,100,9.84,overcast clouds
239,Gavrilovka Vtoraya,RU,52.877,42.7663,63.9,52,1,16.8,clear sky
240,Salalah,OM,17.0151,54.0924,86.23,65,100,10.0,overcast clouds
241,Praia,CV,14.9215,-23.5087,72.14,78,75,9.22,broken clouds
242,Coquimbo,CL,-29.9533,-71.3436,55.04,81,0,5.88,clear sky
243,Lisieux,FR,49.1667,0.1667,63.16,89,61,11.39,broken clouds
244,Sumner,US,36.4998,-86.45,70.75,97,75,0.0,broken clouds
245,Kaitangata,NZ,-46.2817,169.8464,48.4,79,67,5.37,broken clouds
246,Zheleznodorozhnyy,RU,55.7503,38.0042,63.55,38,39,9.13,scattered clouds
247,Bud,US,39.447,-86.1758,66.67,96,86,5.03,overcast clouds
248,Kawalu,ID,-7.3817,108.2082,84.38,63,99,4.9,overcast clouds
249,Gillette,US,44.2911,-105.5022,50.05,91,95,4.25,overcast clouds
250,Kemijarvi,FI,66.7131,27.4306,57.92,52,65,9.28,broken clouds
251,Fortuna,US,40.5982,-124.1573,50.94,91,100,4.61,overcast clouds
252,Tynda,RU,55.1667,124.7167,78.87,34,12,6.96,few clouds
253,Tuktoyaktuk,CA,69.4541,-133.0374,30.15,88,27,9.22,scattered clouds
254,Dzaoudzi,YT,-12.7887,45.2699,85.89,62,75,10.36,broken clouds
255,Sovetskiy,RU,61.3614,63.5842,64.26,28,13,10.13,few clouds
256,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.17,81,24,7.38,few clouds
257,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,70.61,99,100,1.74,overcast clouds
258,Tigil,RU,57.8,158.6667,53.71,65,91,7.76,overcast clouds
259,Sandakan,MY,5.8402,118.1179,86.32,62,39,5.66,scattered clouds
260,Cervo,ES,43.6702,-7.4101,65.97,66,100,5.14,overcast clouds
261,Sitka,US,57.0531,-135.33,51.69,87,75,4.61,broken clouds
262,Port Alfred,ZA,-33.5906,26.891,65.17,70,4,4.85,clear sky
263,Areosa,PT,41.7178,-8.8571,64.85,73,26,3.13,scattered clouds
264,San Cristobal,VE,7.7669,-72.225,65.16,95,62,2.8,broken clouds
265,Changde,CN,29.0464,111.6783,91.33,52,31,7.58,scattered clouds
266,Husavik,IS,66.0449,-17.3389,49.14,77,99,2.71,overcast clouds
267,Whitehorse,CA,60.7161,-135.0538,49.01,84,100,13.8,overcast clouds
268,Tura,IN,25.5198,90.2201,87.42,64,99,5.55,overcast clouds
269,Kyshtovka,RU,56.555,76.6271,64.09,52,94,4.0,light rain
270,Shaowu,CN,27.3409,117.4831,81.64,71,92,5.37,overcast clouds
271,Hambantota,LK,6.1241,81.1185,86.05,65,100,20.85,overcast clouds
272,Levokumskoye,RU,44.8219,44.6606,79.56,35,95,8.99,overcast clouds
273,Tuatapere,NZ,-46.1333,167.6833,49.26,82,4,6.6,clear sky
274,Airai,TL,-8.9266,125.4092,69.21,66,38,3.29,scattered clouds
275,Alakurtti,RU,66.9672,30.3491,60.37,35,15,9.66,few clouds
276,Caravelas,BR,-17.7125,-39.2481,62.85,91,68,4.21,broken clouds
277,Praya,CV,14.9215,-23.5087,72.14,78,75,9.22,broken clouds
278,Ottumwa,US,41.02,-92.4113,64.94,94,100,5.75,overcast clouds
279,Severo-Kurilsk,RU,50.6789,156.125,45.5,85,98,3.15,overcast clouds
280,Larap,PH,14.299,122.6504,88.68,61,39,2.13,scattered clouds
281,Asau,RO,46.4333,26.4,72.52,52,35,6.51,scattered clouds
282,Hasaki,JP,35.7333,140.8333,64.29,86,100,22.77,overcast clouds
283,Klaksvik,FO,62.2266,-6.589,49.12,77,98,10.58,overcast clouds
284,Hot Springs,US,34.5037,-93.0552,74.35,94,100,0.0,overcast clouds
285,Chapleau,CA,47.8405,-83.4034,48.24,96,98,5.44,overcast clouds
286,Lumphat,KH,13.4878,106.9816,85.98,79,100,4.85,overcast clouds
287,Gat,IL,31.61,34.7642,85.41,16,21,9.53,few clouds
288,Payo,ID,-3.7508,103.6372,90.37,50,24,3.27,few clouds
289,Aksarka,RU,66.5606,67.7975,66.72,28,86,12.44,overcast clouds
290,Bol,TD,13.4586,14.7147,84.74,48,4,1.72,clear sky
291,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,93,100,4.61,light rain
292,Kasongo-Lunda,CD,-6.4667,16.8167,77.27,41,89,5.46,overcast clouds
293,Balikpapan,ID,-1.2675,116.8289,78.42,86,100,2.24,overcast clouds
294,Luderitz,NA,-26.6481,15.1594,74.3,28,0,23.15,clear sky
295,Tiksi,RU,71.6872,128.8694,45.09,78,100,10.45,overcast clouds
296,Lagoa Vermelha,BR,-28.2086,-51.5258,54.93,99,100,3.04,overcast clouds
297,La Ronge,CA,55.1001,-105.2842,50.23,67,71,3.22,broken clouds
298,Willmar,US,45.1219,-95.0433,62.55,60,100,5.75,light rain
299,Octeville,FR,49.6261,-1.6435,57.69,94,100,14.97,overcast clouds
300,Dayong,CN,25.0209,118.2898,73.26,99,100,5.48,light rain
301,Codrington,AU,-38.2667,141.9667,51.17,67,100,17.76,overcast clouds
302,Torbay,CA,47.6666,-52.7314,39.58,87,41,15.01,scattered clouds
303,Cerritos,US,33.8583,-118.0648,69.64,87,100,6.91,overcast clouds
304,Broken Hill,AU,-31.95,141.4333,51.89,70,65,10.09,broken clouds
305,Livingston,GB,55.9029,-3.5226,55.47,76,40,11.5,scattered clouds
306,Port Augusta,AU,-32.5,137.7667,55.0,72,71,13.35,broken clouds
307,Zhob,PK,31.3411,69.4481,93.97,6,2,3.06,clear sky
308,Chapais,CA,49.7834,-74.8492,56.98,80,100,5.48,overcast clouds
309,Srednekolymsk,RU,67.45,153.6833,47.8,40,47,14.52,scattered clouds
310,Sisian,AM,39.5256,46.0251,72.12,48,53,5.99,light rain
311,Richards Bay,ZA,-28.783,32.0377,69.67,54,0,2.26,clear sky
312,Lata,PT,40.1629,-8.3327,67.82,66,24,4.63,few clouds
313,Alofi,NU,-19.0595,-169.9187,77.38,75,17,12.95,few clouds
314,Mitsamiouli,KM,-11.3847,43.2844,80.22,65,18,6.96,few clouds
315,Manggar,ID,-2.8833,108.2667,84.04,68,100,6.78,overcast clouds
316,Nome,US,64.5011,-165.4064,66.27,43,0,9.22,clear sky
317,Poum,NC,-20.2333,164.0167,77.18,73,70,16.11,broken clouds
318,Kouango,CF,4.9934,19.9619,81.0,71,73,4.38,broken clouds
319,Lompoc,US,34.6391,-120.4579,55.29,83,100,20.0,overcast clouds
320,Laguna,US,38.421,-121.4238,69.31,69,0,5.75,clear sky
321,Portoferraio,IT,42.8115,10.3146,78.69,73,0,3.44,clear sky
322,Manaus,BR,-3.1019,-60.025,73.9,94,0,2.3,clear sky
323,Laishevo,RU,55.4046,49.5504,61.02,89,100,21.39,overcast clouds
324,Shimoda,JP,34.6667,138.95,62.1,86,98,14.09,overcast clouds
325,Baiquan,CN,47.5833,126.0833,74.39,32,100,6.29,overcast clouds
326,Ovsyanka,RU,55.9575,92.5519,54.57,49,96,6.15,overcast clouds
327,Maceio,BR,-9.6658,-35.7353,71.04,94,75,2.3,broken clouds
328,Barra Patuca,HN,15.8,-84.2833,78.37,89,100,9.1,overcast clouds
329,Shache,CN,38.4167,77.2406,89.49,15,26,4.74,scattered clouds
330,Albion,US,42.2431,-84.753,66.24,96,100,0.0,light intensity drizzle
331,Nanortalik,GL,60.1432,-45.2371,39.13,93,100,4.45,overcast clouds
332,Sandpoint,US,48.2766,-116.5533,52.72,92,75,0.0,broken clouds
333,Luganville,VU,-15.5333,167.1667,78.75,75,30,10.29,scattered clouds
334,Usinsk,RU,65.9939,57.5281,68.88,27,9,4.97,clear sky
335,Embu,BR,-23.6489,-46.8522,62.11,90,100,3.11,overcast clouds
336,Dubbo,AU,-32.25,148.6167,50.13,71,81,9.22,broken clouds
337,Bengkulu,ID,-3.8004,102.2655,83.59,74,88,4.41,moderate rain
338,Varniai,LT,55.7406,22.3644,58.51,93,100,9.01,overcast clouds
339,Holme,DK,56.1138,10.1725,58.57,86,100,10.92,overcast clouds
340,Danane,CI,7.2596,-8.155,71.01,97,100,0.16,overcast clouds
341,Pakxan,LA,18.3778,103.6601,85.19,74,97,6.8,overcast clouds
342,Ust-Tsilma,RU,65.441,52.1498,68.29,39,100,6.2,overcast clouds
343,Turukhansk,RU,65.8167,87.9833,51.35,31,71,9.28,broken clouds
344,Morehead,US,37.2711,-87.1764,68.99,97,100,0.0,overcast clouds
